id,country,continent
1,Algeria,Africa
2,Angola,Africa
3,Argentina,America de Sud
4,Australia,Oceania
5,Austria,Europa
6,Belgium,Europa
7,Bolivia,America de Sud
8,Bosnia and Herzegovina,Europa
9,Brazil,America de Sud
10,Bulgaria,Europa
11,Cameroon,Africa
12,Canada,America de Nord
13,Cape Verde,Africa
14,Chile,America de Sud
15,China,Asia
16,Colombia,America de Sud
17,Costa Rica,America de Nord
18,Croatia,Europa
19,Cuba,America de Nord
20,Curaçao,America de Nord
21,Czech Republic,Europa
22,Czechoslovakia,Europa
23,Denmark,Europa
24,DR Congo,Africa
25,Ecuador,America de Sud
26,Egypt,Africa
27,El Salvador,America de Nord
28,England,Europa
29,France,Europa
30,German DR,Europa
31,Germany,Europa
32,Ghana,Africa
33,Greece,Europa
34,Haiti,America de Nord
35,Honduras,America de Nord
36,Hungary,Europa
37,Iceland,Europa
38,Indonesia,Asia
39,Iran,Asia
40,Iraq,Asia
41,Israel,Asia
42,Italy,Europa
43,Ivory Coast,Africa
44,Jamaica,America de Nord
45,Japan,Asia
46,Jordan,Asia
47,Kuwait,Asia
48,Mexico,America de Nord
49,Morocco,Africa
50,Netherlands,Europa
51,New Zealand,Oceania
52,Nigeria,Africa
53,North Korea,Asia
54,Northern Ireland,Europa
55,Norway,Europa
56,Panama,America de Nord
57,Paraguay,America de Sud
58,Peru,America de Sud
59,Poland,Europa
60,Portugal,Europa
61,Qatar,Asia
62,Republic of Ireland,Europa
63,Romania,Europa
64,Russia,Europa
65,Saudi Arabia,Asia
66,Scotland,Europa
67,Senegal,Africa
68,Serbia,Europa
69,Slovakia,Europa
70,Slovenia,Europa
71,South Africa,Africa
72,South Korea,Asia
73,Spain,Europa
74,Sweden,Europa
75,Switzerland,Europa
76,Togo,Africa
77,Trinidad and Tobago,America de Nord
78,Tunisia,Africa
79,Turkey,Europa
80,Ukraine,Europa
81,United Arab Emirates,Asia
82,United States,America de Nord
83,Uruguay,America de Sud
84,Uzbekistan,Asia
85,Wales,Europa
86,Yugoslavia,Europa
