id,name_country_1,name_country_2,goals_country_1,goals_country_2,phase,phase_rank,date,home_city,home_country,world_cup,wikipedia
1,Belgium,United States,0,3,group,last_13,1930-07-13,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
2,France,Mexico,4,1,group,last_13,1930-07-13,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
3,Brazil,Yugoslavia,1,2,group,last_13,1930-07-14,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
4,Peru,Romania,1,3,group,last_13,1930-07-14,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
5,Argentina,France,1,0,group,last_13,1930-07-15,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
6,Chile,Mexico,3,0,group,last_13,1930-07-16,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
7,Bolivia,Yugoslavia,0,4,group,last_13,1930-07-17,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
8,Paraguay,United States,0,3,group,last_13,1930-07-17,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
9,Uruguay,Peru,1,0,group,last_13,1930-07-18,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
10,Argentina,Mexico,6,3,group,last_13,1930-07-19,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
11,Chile,France,1,0,group,last_13,1930-07-19,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
12,Belgium,Paraguay,0,1,group,last_13,1930-07-20,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
13,Bolivia,Brazil,0,4,group,last_13,1930-07-20,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
14,Uruguay,Romania,4,0,group,last_13,1930-07-21,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
15,Argentina,Chile,3,1,group,last_13,1930-07-22,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
16,Argentina,United States,6,1,semifinal,last_4,1930-07-26,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
17,Uruguay,Yugoslavia,6,1,semifinal,last_4,1930-07-27,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
18,Uruguay,Argentina,4,2,final,last_2,1930-07-30,Montevideo,Uruguay,1930,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
19,Argentina,Sweden,2,3,round_of_16,last_16,1934-05-27,Bologna,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
20,Austria,France,3,2,round_of_16,last_16,1934-05-27,Turin,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
21,Belgium,Germany,2,5,round_of_16,last_16,1934-05-27,Florence,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
22,Brazil,Spain,1,3,round_of_16,last_16,1934-05-27,Genoa,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
23,Czechoslovakia,Romania,2,1,round_of_16,last_16,1934-05-27,Trieste,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
24,Egypt,Hungary,2,4,round_of_16,last_16,1934-05-27,Naples,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
25,Italy,United States,7,1,round_of_16,last_16,1934-05-27,Rome,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
26,Netherlands,Switzerland,2,3,round_of_16,last_16,1934-05-27,Milan,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
27,Austria,Hungary,2,1,quarterfinal,last_8,1934-05-31,Bologna,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
28,Czechoslovakia,Switzerland,3,2,quarterfinal,last_8,1934-05-31,Turin,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
29,Germany,Sweden,2,1,quarterfinal,last_8,1934-05-31,Milan,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
30,Italy,Spain,1,1,quarterfinal,last_8,1934-05-31,Florence,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
31,Italy,Spain,1,0,quarterfinal,last_8,1934-06-01,Florence,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
32,Czechoslovakia,Germany,3,1,semifinal,last_4,1934-06-03,Rome,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
33,Italy,Austria,1,0,semifinal,last_4,1934-06-03,Milan,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
34,Austria,Germany,2,3,final_3_4,last_3_4,1934-06-07,Naples,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
35,Italy,Czechoslovakia,2,1,final,last_2,1934-06-10,Rome,Italy,1934,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup
36,Germany,Switzerland,1,1,round_of_16,last_16,1938-06-04,Paris,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
37,Brazil,Poland,6,5,round_of_16,last_16,1938-06-05,Strasbourg,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
38,Cuba,Romania,3,3,round_of_16,last_16,1938-06-05,Toulouse,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
39,Czechoslovakia,Netherlands,3,0,round_of_16,last_16,1938-06-05,Le Havre,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
40,France,Belgium,3,1,round_of_16,last_16,1938-06-05,Colombes,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
41,Hungary,Indonesia,6,0,round_of_16,last_16,1938-06-05,Reims,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
42,Italy,Norway,2,1,round_of_16,last_16,1938-06-05,Marseille,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
43,Cuba,Romania,2,1,round_of_16,last_16,1938-06-09,Toulouse,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
44,Germany,Switzerland,2,4,round_of_16,last_16,1938-06-09,Paris,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
45,Brazil,Czechoslovakia,1,1,quarterfinal,last_8,1938-06-12,Bordeaux,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
46,Cuba,Sweden,0,8,quarterfinal,last_8,1938-06-12,Antibes,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
47,France,Italy,1,3,quarterfinal,last_8,1938-06-12,Colombes,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
48,Hungary,Switzerland,2,0,quarterfinal,last_8,1938-06-12,Lille,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
49,Brazil,Czechoslovakia,2,1,quarterfinal,last_8,1938-06-14,Bordeaux,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
50,Brazil,Italy,1,2,semifinal,last_4,1938-06-16,Marseille,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
51,Hungary,Sweden,5,1,semifinal,last_4,1938-06-16,Paris,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
52,Brazil,Sweden,4,2,final_3_4,last_3_4,1938-06-19,Bordeaux,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
53,Hungary,Italy,2,4,final,last_2,1938-06-19,Colombes,France,1938,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup
54,Brazil,Mexico,4,0,group,last_13,1950-06-24,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
55,Chile,England,0,2,group,last_13,1950-06-25,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
56,Italy,Sweden,2,3,group,last_13,1950-06-25,São Paulo,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
57,Spain,United States,3,1,group,last_13,1950-06-25,Curitiba,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
58,Switzerland,Yugoslavia,0,3,group,last_13,1950-06-25,Belo Horizonte,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
59,Brazil,Switzerland,2,2,group,last_13,1950-06-28,São Paulo,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
60,Mexico,Yugoslavia,1,4,group,last_13,1950-06-28,Porto Alegre,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
61,Chile,Spain,0,2,group,last_13,1950-06-29,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
62,England,United States,0,1,group,last_13,1950-06-29,Belo Horizonte,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
63,Paraguay,Sweden,2,2,group,last_13,1950-06-29,Curitiba,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
64,Brazil,Yugoslavia,2,0,group,last_13,1950-07-01,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
65,Bolivia,Uruguay,0,8,group,last_13,1950-07-02,Belo Horizonte,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
66,Chile,United States,5,2,group,last_13,1950-07-02,Recife,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
67,England,Spain,0,1,group,last_13,1950-07-02,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
68,Italy,Paraguay,2,0,group,last_13,1950-07-02,São Paulo,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
69,Mexico,Switzerland,1,2,group,last_13,1950-07-02,Porto Alegre,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
70,Brazil,Sweden,7,1,final_group,last_4,1950-07-09,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
71,Spain,Uruguay,2,2,final_group,last_4,1950-07-09,São Paulo,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
72,Brazil,Spain,6,1,final_group,last_4,1950-07-13,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
73,Sweden,Uruguay,2,3,final_group,last_4,1950-07-13,São Paulo,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
74,Brazil,Uruguay,1,2,final_group,last_2,1950-07-16,Rio de Janeiro,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
75,Spain,Sweden,1,3,final_group,last_4,1950-07-16,São Paulo,Brazil,1950,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup
76,Austria,Scotland,1,0,group,last_16,1954-06-16,Zürich,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
77,Brazil,Mexico,5,0,group,last_16,1954-06-16,Geneva,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
78,Czechoslovakia,Uruguay,0,2,group,last_16,1954-06-16,Bern,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
79,France,Yugoslavia,0,1,group,last_16,1954-06-16,Lausanne,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
80,Belgium,England,4,4,group,last_16,1954-06-17,Basel,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
81,Germany,Turkey,4,1,group,last_16,1954-06-17,Bern,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
82,Hungary,South Korea,9,0,group,last_16,1954-06-17,Zürich,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
83,Switzerland,Italy,2,1,group,last_16,1954-06-17,Lausanne,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
84,Austria,Czechoslovakia,5,0,group,last_16,1954-06-19,Zürich,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
85,Brazil,Yugoslavia,1,1,group,last_16,1954-06-19,Lausanne,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
86,France,Mexico,3,2,group,last_16,1954-06-19,Geneva,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
87,Scotland,Uruguay,0,7,group,last_16,1954-06-19,Basel,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
88,Belgium,Italy,1,4,group,last_16,1954-06-20,Lugano,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
89,Germany,Hungary,3,8,group,last_16,1954-06-20,Basel,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
90,South Korea,Turkey,0,7,group,last_16,1954-06-20,Geneva,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
91,Switzerland,England,0,2,group,last_16,1954-06-20,Bern,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
92,Germany,Turkey,7,2,group_playoff,last_16,1954-06-23,Zürich,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
93,Switzerland,Italy,4,1,group_playoff,last_16,1954-06-23,Basel,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
94,England,Uruguay,2,4,quarterfinal,last_8,1954-06-26,Basel,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
95,Switzerland,Austria,5,7,quarterfinal,last_8,1954-06-26,Lausanne,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
96,Brazil,Hungary,2,4,quarterfinal,last_8,1954-06-27,Bern,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
97,Germany,Yugoslavia,2,0,quarterfinal,last_8,1954-06-27,Geneva,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
98,Austria,Germany,1,6,semifinal,last_4,1954-06-30,Basel,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
99,Hungary,Uruguay,4,2,semifinal,last_4,1954-06-30,Lausanne,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
100,Austria,Uruguay,3,1,final_3_4,last_3_4,1954-07-03,Zürich,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
101,Germany,Hungary,3,2,final,last_2,1954-07-04,Bern,Switzerland,1954,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup
102,Argentina,Germany,1,3,group,last_16,1958-06-08,Malmö,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
103,Austria,Brazil,0,3,group,last_16,1958-06-08,Uddevalla,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
104,Czechoslovakia,Northern Ireland,0,1,group,last_16,1958-06-08,Halmstad,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
105,England,Russia,2,2,group,last_16,1958-06-08,Gothenburg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
106,France,Paraguay,7,3,group,last_16,1958-06-08,Norrköping,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
107,Hungary,Wales,1,1,group,last_16,1958-06-08,Sandviken,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
108,Scotland,Yugoslavia,1,1,group,last_16,1958-06-08,Västerås,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
109,Sweden,Mexico,3,0,group,last_16,1958-06-08,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
110,Argentina,Northern Ireland,3,1,group,last_16,1958-06-11,Halmstad,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
111,Austria,Russia,0,2,group,last_16,1958-06-11,Borås,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
112,Brazil,England,0,0,group,last_16,1958-06-11,Gothenburg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
113,Czechoslovakia,Germany,2,2,group,last_16,1958-06-11,Helsingborg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
114,France,Yugoslavia,2,3,group,last_16,1958-06-11,Västerås,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
115,Mexico,Wales,1,1,group,last_16,1958-06-11,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
116,Paraguay,Scotland,3,2,group,last_16,1958-06-11,Norrköping,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
117,Sweden,Hungary,2,1,group,last_16,1958-06-12,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
118,Argentina,Czechoslovakia,1,6,group,last_16,1958-06-15,Helsingborg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
119,Austria,England,2,2,group,last_16,1958-06-15,Borås,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
120,Brazil,Russia,2,0,group,last_16,1958-06-15,Gothenburg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
121,France,Scotland,2,1,group,last_16,1958-06-15,Örebro,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
122,Germany,Northern Ireland,2,2,group,last_16,1958-06-15,Malmö,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
123,Hungary,Mexico,4,0,group,last_16,1958-06-15,Sandviken,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
124,Paraguay,Yugoslavia,3,3,group,last_16,1958-06-15,Eskilstuna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
125,Sweden,Wales,0,0,group,last_16,1958-06-15,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
126,Czechoslovakia,Northern Ireland,1,2,group_playoff,last_16,1958-06-17,Malmö,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
127,England,Russia,0,1,group_playoff,last_16,1958-06-17,Gothenburg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
128,Hungary,Wales,1,2,group_playoff,last_16,1958-06-17,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
129,Brazil,Wales,1,0,quarterfinal,last_8,1958-06-19,Gothenburg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
130,France,Northern Ireland,4,0,quarterfinal,last_8,1958-06-19,Norrköping,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
131,Germany,Yugoslavia,1,0,quarterfinal,last_8,1958-06-19,Malmö,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
132,Sweden,Russia,2,0,quarterfinal,last_8,1958-06-19,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
133,Brazil,France,5,2,semifinal,last_4,1958-06-24,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
134,Sweden,Germany,3,1,semifinal,last_4,1958-06-24,Gothenburg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
135,France,Germany,6,3,final_3_4,last_3_4,1958-06-28,Gothenburg,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
136,Sweden,Brazil,2,5,final,last_2,1958-06-29,Solna,Sweden,1958,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
137,Argentina,Bulgaria,1,0,group,last_16,1962-05-30,Rancagua,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
138,Brazil,Mexico,2,0,group,last_16,1962-05-30,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
139,Chile,Switzerland,3,1,group,last_16,1962-05-30,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
140,Colombia,Uruguay,1,2,group,last_16,1962-05-30,Arica,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
141,Czechoslovakia,Spain,1,0,group,last_16,1962-05-31,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
142,England,Hungary,1,2,group,last_16,1962-05-31,Rancagua,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
143,Germany,Italy,0,0,group,last_16,1962-05-31,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
144,Russia,Yugoslavia,2,0,group,last_16,1962-05-31,Arica,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
145,Argentina,England,1,3,group,last_16,1962-06-02,Rancagua,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
146,Brazil,Czechoslovakia,0,0,group,last_16,1962-06-02,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
147,Chile,Italy,2,0,group,last_16,1962-06-02,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
148,Uruguay,Yugoslavia,1,3,group,last_16,1962-06-02,Arica,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
149,Bulgaria,Hungary,1,6,group,last_16,1962-06-03,Rancagua,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
150,Colombia,Russia,4,4,group,last_16,1962-06-03,Arica,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
151,Germany,Switzerland,2,1,group,last_16,1962-06-03,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
152,Mexico,Spain,0,1,group,last_16,1962-06-03,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
153,Argentina,Hungary,0,0,group,last_16,1962-06-06,Rancagua,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
154,Brazil,Spain,2,1,group,last_16,1962-06-06,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
155,Chile,Germany,0,2,group,last_16,1962-06-06,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
156,Russia,Uruguay,2,1,group,last_16,1962-06-06,Arica,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
157,Bulgaria,England,0,0,group,last_16,1962-06-07,Rancagua,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
158,Colombia,Yugoslavia,0,5,group,last_16,1962-06-07,Arica,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
159,Czechoslovakia,Mexico,1,3,group,last_16,1962-06-07,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
160,Italy,Switzerland,3,0,group,last_16,1962-06-07,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
161,Brazil,England,3,1,quarterfinal,last_8,1962-06-10,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
162,Chile,Russia,2,1,quarterfinal,last_8,1962-06-10,Arica,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
163,Czechoslovakia,Hungary,1,0,quarterfinal,last_8,1962-06-10,Rancagua,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
164,Germany,Yugoslavia,0,1,quarterfinal,last_8,1962-06-10,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
165,Chile,Brazil,2,4,semifinal,last_4,1962-06-13,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
166,Czechoslovakia,Yugoslavia,3,1,semifinal,last_4,1962-06-13,Viña del Mar,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
167,Chile,Yugoslavia,1,0,final_3_4,last_3_4,1962-06-16,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
168,Brazil,Czechoslovakia,3,1,final,last_2,1962-06-17,Santiago,Chile,1962,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
